"BatterHand","BattedBallType","Location","Result","ExpOBP","ExpSLG","Exp2OPS","ExpOBP_sd","ExpSLG_sd","Exp2OPS_sd","ExpOBP_n","ExpSLG_n","Exp2OPS_n"
"L","FB","9","PO-F",0.0213403819657166,0.0853615278628665,0.0405467257348616,NA,NA,NA,1,1,1
"L","GB","-3","2B",0.631774297347892,0.631774297347892,0.568596867613103,NA,NA,NA,1,1,1
"L","GB","-5","2B",0.398489801690774,1.5939592067631,0.75713062321247,NA,NA,NA,1,1,1
"L","GB","0","FC",0.275801196450122,0.827403589350366,0.432088541105191,NA,NA,NA,1,1,1
"L","GB","1","FC",0.507543124668942,1.12450518108846,0.662442831008556,0.408290895871944,0.661840054481842,0.451978192488049,2,2,2
"L","GB","1","GIDP",0.405893078414242,1.62357231365697,0.77119684898706,NA,NA,NA,1,1,1
"L","GB","1","GO",0.38068351456325,0.931613037943357,0.526258337566961,0.211438623057322,0.708270856958168,0.327870170877645,23,23,23
"L","GB","3","1B",0.561246284580185,1.40311571145046,0.78574479841226,0,1.19058316122721,0.396861053742404,2,2,2
"L","GB","3","FC",0.158592108188529,0.374179059827312,0.214595214582604,0.0364490325150644,0.209807367890062,0.0842287788330868,10,10,10
"L","GB","3","GIDP",0.513207699048699,1.00905660482497,0.62716989773592,0.174497213170439,0.861525201914393,0.314440278960134,3,3,3
"L","GB","3","GO",0.248368038355333,0.613597877450799,0.345274514218288,0.15757599389775,0.50047474814004,0.241399259215796,130,130,130
"L","GB","3","HIDP",0.136520572950748,0.273041145901495,0.168375373305922,NA,NA,NA,1,1,1
"L","GB","3","ROE",0.265498486965865,0.499413892750605,0.316920440197525,0.216764848262185,0.0715945636766103,0.129689755464723,3,3,3
"L","GB","34","1B",0.511660809344648,1.37651460619259,0.748779327359498,0.173643164837866,0.760687201628161,0.326552945497879,73,73,73
"L","GB","34","2B",0.705446225415231,2.37950770111322,1.19292209477304,0.157622550543636,0.794026150891517,0.344564158821529,3,3,3
"L","GB","4","1B",0.345104460493813,0.697075854971886,0.427917812603789,0.169156228377958,0.419855651947788,0.21108320118858,14,14,14
"L","GB","4","FC",0.259235759711058,0.728107107342773,0.389602632950524,0.147695749565535,0.659519592556349,0.294733247272852,15,15,15
