"X","Y","Bin"
86.9112010507397,-75.3089844037078,"topped"
88.0951109586825,-73.920575113952,"topped"
89.256843393552,-72.5135567147201,"topped"
90.3961058954205,-71.0882834153696,"topped"
91.5126116610457,-69.6451140208317,"topped"
92.6060796160717,-68.1844118412836,"topped"
93.6762344857886,-66.7065446006878,"topped"
94.7228068644308,-65.2118843442186,"topped"
95.7455332829987,-63.7008073446027,"topped"
96.7441562755858,-62.1736940073937,"topped"
97.7184244441941,-60.6309287752078,"topped"
98.6680925220224,-59.0729000309417,"topped"
99.5929214352105,-57.5,"topped"
100.492678363025,-55.9126246515539,"topped"
101.367136796472,-54.3111735988585,"topped"
102.216076595316,-52.6960499986522,"topped"
103.039284043504,-51.067660449664,"topped"
103.836551902961,-49.4264148902548,"topped"
104.60767946577,-47.7727264952169,"topped"
