"GameID","Umpire"
"FGCMIA041818","Jessi Pereira"
"UNCMIA040818","Jonathan Merry"
"UNCMIA040618","Scott Cline"
"UNCMIA040718","Scott Kennedy"
"PITMIA042118","Wilson Raynor"
"PITMIA042118","Kenneth Fitts"
"PITMIA042018","Gregory Street"
"BETMIA050418","Joseph Judkowitz"
"BETMIA050518","Brandon Henson"
"BETMIA050618","Arthur Thigpen"
"MIAVAT051118","Kevin Sweeney"
"MIAVAT051218","Brent Rice"
"MIAVAT051318","Jeff Wright"
"SHUNCS021618","John Haggerty"
"SHUNCS021618","Gregory Street"
"SHUNCS021818","Jon Byrne"
"UNANCS022018","Randal Dulin"
"CHANCS022118","John Haggerty"
"FURNCS022318","Steve Sanders"
"FURNCS022418","Darren Spagnardi"
"FURNCS022518","Jon Byrne"
"AFUNCS022618","John Haggerty"
"BGSNCS030218","Drew Maher"
"CAMNCS030318","Brent Cardwell"
"NCSCAM030718","Joseph Holt"
"CAMNCS050218","Joseph Holt"
"CISNCS030418","Brad Newton"
"NCANCS031418","Gregory Street"
"NCANCS031318","Steve Sanders"
"GMUNCS032718","Steve Sanders"
"NCSVAT033018","Darren Spagnardi"
"NCSVAT033118","Jeremy Dupree"
"NCSVAT032918","Danny Everett"
"NCSNCW041118","John Haggerty"
"NODNCS041318","Randy Watkins"
"NODNCS041418","Jonathan Merry"
"NODNCS041418","Craig Barron"
"NCSUNC041718","Barry Chambers"
"UNCNCS042818","Derek Mollica"
"UNCNCS042918","Kevin Sweeney"
"UNCNCS042718","Barry Chambers"
"W&MNCS050418","Michael Parnell"
"W&MNCS050518","Randy Vestal"
"W&MNCS050618","Brian Kennedy"
"JMUNCS050818","Wilson Raynor"
"JMUNCS050918","John Haggerty"
"WAFNCS051118","Jeff Doy"
"WAFNCS051218","Matthew Schaeffer"
"WAFNCS051318","Chris Ward"
"NCSUVA052418","Danny Everett"
"AMYNCS060118","Ken Langford"
"UNCUSF021618","Rob Healey"
"UNCUSF021718","Arthur Thigpen"
"UNCUSF021818","Adam Beck"
"NCWUNC022018","Gregory Street"
"UNCNCW051518","Eric Bynum"
"STJUNC022118","Barry Chambers"
"UNCECU022318","Gary Swanson"
"UNCECU022418","Brian Kennedy"
"ECUUNC022518","John Haggerty"
"HPUUNC022718","Steve Sanders"
"LIBUNC030218","Steve Sanders"
"LIBUNC030318","John Haggerty"
"LIBUNC030418","Jon Bryne"
"UNAUNC031318","Drew Maher"
"UNAUNC060118","Mike Mazzarisi"
"GWUUNC031418","Steve Sanders"
"PITUNC031718","Olindo Mattia"
"PITUNC031818","Derek Mollica"
"PITUNC031618","Danny Everett"
"UNCPIT052318","Derek Molica"
"UMDUNC032018","John Haggerty"
"UNCCHA032718","Brian Kennedy"
"WAFUNC040118","Damien Beal"
"WAFUNC033018","Barry Chambers"
"WAFUNC033118","Olindo Mattia"
"UNCUSC040318","David Savage"
"APPUNC041018","Steve Sanders"
"UNCUVA041418","Brandon Henson"
"UNCUVA041418","Hank Himmanen"
"UNCUVA041318","AJ Lostaglio"
"WCUUNC042518","Brian Kennedy"
"NCAUNC050118","Jamie Roebuck"
"RICUNC050818","David Brown"
"UNCCOA050918","Brad Newton"
"VATUNC051918","Brent Rice"
"VATUNC051718","Danny Collins"
"VATUNC051818","Jack Furlong"
"NODLSU021618","Mark Chapman"
"NODLSU021718","Eddie Newsom"
"NODLSU021818","Ryan Broussard"
"SLUNOD022218","Jared Higdon"
"INWNOD022218","Michael Grishman"
"PURNOD022418",NA
"PURNOD022518","Mark Huesman"
"YOUNOD030218","Andy Shultz"
"SHUNOD030318","Damien Beal"
"SEANOD030418","Rob Healey"
"NODSJO031418","Kyle Reese"
"SJONOD031318","Zach Tieche"
"NIUNOD032018","Eric Loveless"
"WAFNOD032318","John Haggerty"
"WAFNOD032418","Derek Mollica"
"WAFNOD032518","Craig Barron"
"KENNOD032818","Perry Costello"
"KENNOD032718","David Condon"
"CSUNOD040318","Michael Duffy"
"NODMSU041018","Mark Uyl"
"NWSNOD041118","Thomas Newport"
"NODNWS051518","David Condon"
"NODIND041718","Kevin Conder"
"VATNOD042018","Tony Carilli"
"VATNOD042118","Gary Swanson"
"VATNOD042218","Cedric Coleman"
"VALNOD042518","Pete Pedersen"
"WMUNOD050118","Grady Smith"
"PITNOD050518","Jeremy Dupree"
"PITNOD050618","Darrell Arnold"
"PITNOD050418","Robert Walsh"
"OAKPIT021618",NA
"OAKPIT021818",NA
"SLUPIT021718",NA
"TOLPIT021718",NA
"PRCPIT022318","Lindy Hall"
"PITUPS022418","Robert Dunnigan"
"PITSHU022418","TR Sloan"
"MASPIT030218",NA
"MASPIT030318",NA
"MASPIT030418",NA
